word,pos,primary_definition_en,primary_definition_ko,mw_definition_number,sat_meaning_en,sat_meaning_ko,skills,difficulties,occurrence_count
"abound","verb","to be present in large numbers or in great quantity","많은 수나 양으로 존재하다",2,"to be filled or filled with","가득 차다","Cross-Text Connections","Hard",1
"above","preposition","in or to a higher place","더 높은 장소에",2,"in a higher position than","보다 높은 위치에","Boundaries","Easy",1
"abrupt","adjective","sudden or unexpected","갑작스러운 또는 예상치 못한",2,"marked by a lack of gradual transition","점진적 전환의 부족으로 특징지어지는","Text Structure and Purpose","Medium",1
"absence","noun","the state of being away","떠나 있는 상태",3,"the lack of someone or something","누군가 또는 무언가의 부족","Words in Context","Hard",1
"absorbed","adjective","deeply interested or involved","깊이 관심이 있거나 관련된",2,"engrossed or fully occupied","몰두하거나 완전히 차지된","Central Ideas and Details","Easy",1
"accepted","adjective","generally believed or recognized","일반적으로 믿어지거나 인정받는",2,"acknowledged as valid or correct","유효하거나 올바른 것으로 인정받는","Words in Context","Hard",1
"according","adverb","in agreement with","~에 따라",2,"as stated or reported by","~에 의해 언급된 대로","Transitions","Easy",2
"accuracy","noun","the quality or state of being correct or precise","정확하거나 정밀한 상태",2,"the degree to which a measurement or estimate is close to the true value","측정값이나 추정치가 실제 값에 가까운 정도","Words in Context","Medium",1
"acquainted","adjective","having knowledge of something","무언가에 대한 지식이 있는",2,"having met someone or having knowledge of someone","누군가를 만났거나 누군가에 대한 지식이 있는","Central Ideas and Details","Medium",1
"acquire","verb","to come into possession of","소유하게 되다",2,"to gain through effort","노력을 통해 얻다","Text Structure and Purpose","Medium",1
"acquires","verb","to get or gain something","무언가를 얻거나 획득하다",2,"to come into possession of something","무언가를 소유하게 되다","Rhetorical Synthesis","Hard",1
"across","preposition","from one side to the other","한쪽에서 다른 쪽으로",2,"in various areas or throughout","여러 지역 또는 전역에 걸쳐","Boundaries","Hard",1
"active","adjective","engaging or ready to engage in physically energetic pursuits","신체적으로 에너지를 쏟을 준비가 된",2,"having the power of movement or function","움직임이나 기능의 힘을 가진","Command of Evidence","Medium",1
"adapted","verb","to change (something) so that it functions better or is better suited for a purpose","(무언가를) 더 잘 작동하거나 목적에 더 잘 맞도록 변경하다",2,"to change in response to new conditions","새로운 조건에 반응하여 변화하다","Text Structure and Purpose","Easy",1
"address","verb","to speak to","말하다",2,"to deal with or discuss","다루다 또는 논의하다","Words in Context","Medium",1
"adopt","verb","to take up and practice or use","채택하다",3,"to take on or accept (an idea or practice)","(아이디어나 관습을) 받아들이다","Command of Evidence | Central Ideas and Details","Hard | Medium",2
"advance","noun","the act of moving forward","앞으로 나아가는 행위",2,"a forward movement or progression in time","시간의 전진 또는 진행","Boundaries","Easy",1
"Aeolian","adjective","of or relating to the wind","바람과 관련된",2,"pertaining to the action of the wind in shaping landforms","지형을 형성하는 바람의 작용과 관련된","Rhetorical Synthesis","Medium",1
"affect","verb","to have an influence on or make a change in","영향을 미치다 또는 변화를 주다",2,"to produce a change or influence in a particular situation","특정 상황에서 변화를 일으키거나 영향을 미치다","Words in Context","Hard",1
"affordability","noun","the quality of being affordable","저렴한 품질",2,"the state of being able to be paid for; financial feasibility","지불할 수 있는 상태; 재정적 실행 가능성","Central Ideas and Details","Easy",1
"aid","verb","to provide with means or opportunity","수단이나 기회를 제공하다",2,"to help or assist in achieving something","무언가를 달성하는 데 도움을 주다","Transitions","Easy",1
"allocate","verb","to divide and give out (something) for a special reason or to particular people, companies, etc.","특정한 이유나 특정 사람, 회사 등에 대해 (무언가를) 나누고 분배하다.",2,"to assign or distribute resources or responsibilities for a specific purpose","특정 목적을 위해 자원이나 책임을 할당하거나 분배하다.","Command of Evidence | Transitions","Hard | Medium",2
"allow","verb","to let happen","일어나게 하다",2,"to enable or permit","가능하게 하다 또는 허용하다","Form, Structure, and Sense","Easy",1
"also","adverb","in addition","또한",2,"as well","마찬가지로","Transitions","Easy",1
"alter","verb","to change or modify","변경하다 또는 수정하다",2,"to change or influence in a significant way","중요한 방식으로 변경하거나 영향을 미치다","Words in Context","Hard",1
"altered","verb","to change or modify","변경하다 또는 수정하다",2,"to change in character or composition, typically in a comparatively small but significant way","특히 비교적 작지만 중요한 방식으로 성격이나 구성을 변경하다","Central Ideas and Details","Easy",1
"alternate","adjective","to switch back and forth between two things","두 가지 사이를 오가다",2,"existing or occurring in place of something else","다른 것의 자리에 존재하거나 발생하는","Transitions","Easy",1
"among","preposition","in or through the midst of; in the company of","중간에; 함께",2,"in the group of","그룹 내에서","Form, Structure, and Sense","Medium",1
"ample","adjective","more than enough; plentiful","충분한; 풍부한",2,"generous or sufficient in quantity","양이 충분한 또는 관대함","Words in Context","Medium",1
"analysis","noun","a detailed examination of the elements or structure of something","무언가의 요소나 구조에 대한 자세한 조사",2,"a process of studying or examining something in detail","무언가를 자세히 연구하거나 조사하는 과정","Rhetorical Synthesis","Hard",1
"analyzes","verb","to study or determine the nature and relationship of the parts of (something) by analysis","(무엇의) 부분의 성질과 관계를 분석하여 연구하다",2,"to examine in detail for purposes of explanation and interpretation","설명을 위해 세부적으로 조사하다","Transitions","Medium",1
"analyzing","verb","to examine carefully","면밀히 조사하다",2,"to study or interpret in detail","자세히 연구하거나 해석하다","Transitions","Easy",1
"answers","verb","to speak or write in response to a question","대답하다, 응답하다",4,"to be adequate or sufficient; to fulfill a need or purpose","충족시키다, 부합하다","Words in Context","Medium",1
"anthology","noun","a collection of selected literary pieces or passages or works of art or music","선택된 문학 작품이나 구절 또는 예술 작품이나 음악의 모음",2,"a collection of various works, particularly in music","특히 음악에서 다양한 작품의 모음","Transitions","Hard",1
"appeal","noun","the power to attract or interest","끌어당기는 힘",2,"the quality of being attractive or interesting","매력적이거나 흥미로운 특성","Inferences | Boundaries","Hard | Medium",2
"appealing","adjective","attractive or interesting","매력적이거나 흥미로운",2,"having a quality that attracts or draws interest","관심을 끌거나 끌어당기는 특성을 가진","Words in Context","Medium",1
"appear","verb","to become visible or noticeable","보이기 시작하다",2,"to seem or give the impression of being","~인 것처럼 보이다","Rhetorical Synthesis","Medium",1
"appetite","noun","a desire for food","음식에 대한 욕구",2,"a strong desire or craving for something","무언가에 대한 강한 욕망 또는 갈망","Boundaries","Medium",1
"apply","verb","to put to use especially for a particular purpose","특정 목적을 위해 사용하다",2,"to put on or spread (as in makeup)","(메이크업처럼) 바르다 또는 펴다","Cross-Text Connections | Form, Structure, and Sense","Easy",2
"argue","verb","to give reasons for or against something","무엇인가에 대한 찬반 이유를 제시하다",2,"to state or assert an opinion or position","의견이나 입장을 진술하거나 주장하다","Words in Context","Medium",1
"arousal","noun","the act of awakening or stimulating","깨우거나 자극하는 행위",2,"a state of being awake or alert, especially after a period of inactivity","비활동 기간 후 깨어 있거나 경계 상태","Command of Evidence","Hard",1
"arrangement","noun","the act of arranging","배치하는 행위",2,"a way in which things are organized or set up","사물들이 조직되거나 설정되는 방식","Central Ideas and Details | Boundaries","Hard | Medium",2
"array","noun","a large group or number of things","많은 그룹이나 수의 것들",2,"a systematic arrangement of things","사물의 체계적인 배열","Central Ideas and Details","Medium",1
